id,title,description,body,tag_list,comments_count,public_reactions_count,author,organisation,published_date,published_year,published_month,published_day,topic_label,url
2475053,Software Sustainability: A Comprehensive Guide for a Resilient Digital Future,Abstract   Software sustainability is emerging as a strategic imperative in our digital age....,abstract software sustainability emerging strategic imperative digital age post synthesizes technical best practice environmental innovation economic funding model social governance guide developer corporation community toward creating software remains adaptable resilient responsible time integrating agile methodology microservices green coding open source funding ethical governance guide offer extensive overview build long-term digital infrastructure explore background context core feature real-world application challenge limitation future trend weaving authoritative resource related insight source like green software foundation sustainable funding open source open source sponsorship insight check original article software sustainability .. introduction rapid pace technological innovation demand software address current need also built evolve continuously time software sustainability ensures digital product remain maintainable efficient responsible merging development practice community governance green initiative funding strategy stakeholder craft system robust ethically aligned post detail key area necessary achieving sustainable software development examining technical framework ecological strategy funding model social inclusion task keywords sustainable software engineering green software open source funding ethical governance decentralized scalability integrated throughout post serve human reader search engine crawler .. background context software shifted monolithic legacy system agile modular architecture evolution began traditional waterfall method developed agile practice continuous integration today microservices culture architectural evolution critical sustainability reduces technical debt facilitates easier upgrade support resilient future digital ecosystem .. historically software project struggled maintenance security flaw environmental inefficiency need sustainable development practice became evident ecological concern economic pressure grew today initiative advocated green software foundation focus creating energy-efficient code integrating renewable energy source data center combining technical adaptability ecological responsibility economic sustainability social inclusion software project reduce downtime mitigate environmental impact foster community engagement .. ecosystem sustainable software modern sustainable software initiative encompass several interrelated component technical sustainability leveraging agile methodology modular architecture automated testing reduce downtime improve code quality ecological sustainability applying green software technique aim reduce energy consumption lower carbon emission economic sustainability utilizing funding model open source sponsorship community grant secure financial future project social sustainability ensuring inclusive design ethical practice user benefit community contribution fairly recognized holistic approach form backbone resilient digital ecosystem support innovation accountability efficiency .. core concept feature technical sustainability technical sustainability focus following aspect agile methodology iterative development agile practice allow team release update faster iterative cycle incorporation continuous integration continuous deployment cicd pipeline enables software adapt instantly changing requirement agile mindset decrease technical debt increase overall code quality .. modular microservices architecture breaking monolithic system modular microservices facilitates independent scaling maintenance approach developer roll update incrementally without disrupting entire system .. automated testing continuous delivery automated testing ensures code reliability rapid deployment pipeline maintain system continuity tool practice incorporated sustainable development include unit testing integration testing automated error detection .. ecological sustainability green software practice contribute sustainability several way energy-efficient algorithm optimized code resource management reduce computational overhead energy consumption practice help lowering carbon footprint digital infrastructure .. integration renewable energy company worldwide adopting infrastructure powered renewable energy source shift reduces environmental impact also aligns global green initiative .. green software initiative organization like green software foundation advocate practice reduce energy usage promote sustainable data center operation .. economic sustainability economic viability software project crucial long-term success key strategy include open source funding model community corporate sponsorship ensure stable financial foundation resource sustainable funding open source provide guideline leveraging funding tool like crowdfunding sponsorship grant .. multi-stream revenue model combining donation corporate partnership token-based sponsorship model project secure diversified revenue stream sustainable funding method support continuous development maintenance critical software .. developer support program encouraging community participation financial aid training recognition program help cultivate nurturing ecosystem initiative highlight open source sponsorship instrumental maintaining active contributor engagement .. social sustainability equitable ethical software practice core social sustainability inclusive ethical design software must accessible user regardless socio-economic cultural background guideline provided ieee 's ethical software help developer create robust system guard data privacy support fairness promote transparency .. community governance open collaboration decentralized governance model allow community member contribute decision-making ensuring transparent meritocratic development process insight community management found article like decentralized governance open source .. volunteer contribution peer recognition unpaid volunteer work pivotal advancing open source project program encourage participation also focus recognition contribution thereby driving long-term sustainability read unpaid volunteer work understand value community-led project .. table sustainability domain overview domain key feature primary benefit technical agile methodology microservices automated testing faster deployment easier maintenance reduced tech debt ecological energy-efficient algorithm renewable energy integration green software initiative lower energy consumption reduced carbon footprint economic open source funding multiple revenue stream developer support program financial stability continuous innovation social inclusive design ethical standard community governance fairness transparency enhanced community collaboration application use case use case open source software ecosystem open source community linux kubernetes apache thrived implementing sustainable practice technical resilience project employ agile methodology together modern microservices architecture favor continuous integration update enables meet evolving user requirement without significant overhaul funding community support many open source initiative benefit diversified funding channel like sponsorship program open source grant strategy documented sustainable funding open source instrumental keeping project active volunteer engagement success open source ecosystem depends heavily community contribution collaborative effort seen unpaid volunteer work ensure project receive continuous update return .. use case blockchain decentralized platform blockchain project built ethereum arbitrum illustrate sustainability integrated within emerging technology scalability microservices project like scaling ethereum arbitrum demonstrate microservices architecture support scalability robust performance decentralized environment decentralized governance model blockchain project enforce transparency security via decentralized governance ensuring participant voice decision-making innovative funding mechanism blockchain space token-based funding model decentralized grant emerged ensuring economic sustainability new project area closely tied evolving open source funding framework community support channel .. use case corporate software initiative large enterprise increasingly embracing sustainable practice software development modernization legacy system corporation integrating agile methodology legacy system ensuring important digital asset remain competitive eco-friendly data center investment renewable energy-powered data center energy-efficient programming practice contribute significantly reduced environmental footprint ethical inclusive policy company focusing user privacy data protection inclusive design aligning industry standard like recommended ieees ethical software .. key benefit bullet list robust agile development process ensuring constant evolution real-time responsiveness modular architecture promote easy scaling maintenance energy-efficient operation lower environmental impact diverse stable funding source support long-term project stability inclusive ethical design practice ensure fairness user satisfaction .. challenge limitation despite many benefit sustainable software development face several challenge technical challenge legacy system integration modernizing outdated system incorporate agile methodology modular design resource-intensive complex automated testing complexity cicd pipeline essential require significant setup maintenance ensure smooth integration across various subsystem rapid technological evolution continuous change technology mean software must constantly adapt without becoming obsolete .. economic challenge funding inconsistency open source project often rely variable financial support fluctuating contribution stall innovation maintenance cycle project forking fragmentation financial community challenge lead project fork fragment resource dilute effort information risk discussed software project forking resource allocation balancing fund innovation maintenance community support remains persistent obstacle .. social governance challenge inclusive design difficulty building software meet diverse need user requires extra planning testing input wide array stakeholder ethical dilemma data privacy consent digital fairness become complex defining clear ethical guideline challenging decentralized decision-making empowering community decentralized governance slow decision-making lead conflict fragmentation vision .. table key challenge proposed solution challenge area primary issue potential solution technical legacy system modernization integration rapid evolution gradual refactoring robust automated testing agile best practice economic funding fluctuation project forking resource allocation diversified revenue stream sustainable funding model clear fiscal policy social governance inclusive design ethical dilemma decentralized delay standardized ethical guideline community engagement transparent governance future outlook innovation looking ahead several trend innovation poised shape software sustainability advancement ai automation artificial intelligence increasingly drive automated testing bug fixing performance optimizationsenabling even leaner self-healing codebases .. next-generation blockchain scalability blockchain project continue scale emerging solution cross-chain interoperability layer scalability featured scaling ethereum arbitrum advance sustainable practice .. enhanced funding platform tokenization innovative funding platform token-based model open source software likely expand integrating mechanism like decentralized grant corporate partnership additionally insight open source funding workshop developer highlight pivot toward community-driven economic model .. ethical framework governance innovation response growing concern data privacy fairness inclusive ethical design framework evolve contribution organization ieees ethical software standard continuously improve .. open collaboration global community engagement open source community expand collaborative platform enable better communication participation article like navigating path blockchain scalability others explore decentralized governance community-led innovation transforming software landscape .. summary software sustainability holistic framework empowers u build robust environmentally friendly economically viable socially equitable digital solution integrating agile methodology modular microservices automated testing green software practice open source funding model organization ensure software remains resilient adaptable change although challenge existranging legacy system integration funding fluctuationsthe future hold promising technological innovation ethical framework community governance model .. key takeaway bullet list agile modular approach enhance technical resilience reduce technical debt .. green software design prioritize energy efficiency minimal environmental impact .. diversified funding secure financial sustainability open source sponsorship corporate partnership community grant .. inclusive governance empower community decentralized decision-making ethical framework .. future-proofing ai blockchain leverage emerging technology ensure continuous evolution scalability .. embrace principle discussed post original article software sustainability becomes clear concerted effort across technical ecological economic social dimension required developer organization build robust system also drive positive change increasingly complex digital ecosystem .. insight check related resource open source sponsorship unpaid volunteer work ieees ethical software additional perspective developer community found post exploring cyberwarfare potential lil pudgys nfts unlocking funding convergence blockchain iot navigating complexity apache license software development conclusion summary sustainable software development provides roadmap creating digital tool technically exceptional also ecologically responsible economically sound socially inclusive integration agile practice green coding innovative funding model ethical governance set stage resilient digital future technology continues evolve rapidly commitment software sustainability determine ability innovate responsibly build system stand test time .. embrace sustainability movement implementing practice project whether 're developer project manager organizational leader investing sustainability today mean robust responsible digital ecosystem tomorrow understanding applying core principle detailed ensure software remains robust scalable ethicalbenefiting current user paving way future innovation .. comprehensive guide hope gained actionable insight building sustainable software let commit practice push boundary innovation also safeguard planet society generation come happy coding,"softwaresustainability, greensoftware, opensourcefunding",0,1,ashu-commits,,2025-05-10,2025,5,10,Software Sustainability,https://dev.to/ashucommits/software-sustainability-a-comprehensive-guide-for-a-resilient-digital-future-3l0o
2081207,Sustainable Movement: Green Software Development,Understanding Green Software Development   Green software development aims to reduce the...,understanding green software development green software development aim reduce environmental footprint software product service focus optimising energy consumption minimising resource use increasing software efficiency without compromising performance sustainable software practice reduce emission save energy also reduce cost improve productivity promote brand loyalty attracting environmentally conscious consumer .. key component green software development energy efficiency reducing software energy consumption key goal sustainable development involves creating software minimises cpu memory storage usage reduce energy required run application .. sustainable software design designing efficiency resource management start long-term impact includes choosing appropriate architecture algorithm selecting framework low resource consumption .. waste reduction involves reducing digital waste redundant code unused data storage optimised code base effective data management reduce operating cost environmental impact .. green software development practice optimising code efficiency optimised code reduces load server device resulting lower energy consumption technique optimising algorithm reducing code complexity minimising redundancy help make software efficient .. using efficient programming language different language consume different amount energy example study show language c rust energy efficient language python ruby choosing efficient language specific task help create greener software .. implementing sustainable architecture pattern architectural decision microservices instead monolithic architecture allow application scale portion service use saving energy additionally architecture based edge computing help reduce need data transmission processing data closer user reducing network energy consumption .. resource management allocating resource needed rather allowing idle resource consume energy critical technique virtualisation containerisation on-demand scaling cloud computing help reduce idle power consumption .. server-side optimisation efficient server utilisation significantly reduce power consumption technique load balancing server clustering containerization help make server utilisation efficient .. article,"greensoftware, customsoftware, softwaredevelopment",0,0,Alona Potapova,,2024-11-06,2024,11,6,Green Software Development,https://dev.to/alona_instandart/sustainable-movement-green-software-development-4dm5
2024430,Carbon-Aware Software Development,"Intro:   During a recent panel discussion at the Digital Exchange, I had the chance to share...",intro recent panel discussion digital exchange chance share insight integrating sustainability software design software architect passionate effective design prioritizing environmental consideration highlighted importance leveraging consumption metric provided cloud service proxy scope emission goal designing reviewing solution understand educate peer design choice impact carbon emission attributed scope emission .. design consideration programming language choice one crucial design decision involves selecting programming language based energy efficiency .for instance language like c rust known efficiency lower energy consumption language like python ruby although easier write maintain tend consume energy choosing energy-efficient language appropriate reduce carbon footprint software solution .. ux design design choice font cs styling color scheme ensure end-user rendering consumes less power could another aspect provide clear setting power management user easily access adjust include option like enabling sleep mode reducing screen brightness optimizing background process additionally utilize cloud-based solution offload intensive processing task end-user device energy-efficient cloud server reduces energy burden individual device also leverage efficiency large-scale cloud infrastructure .. hosting decision making hosting decision prioritize data center high power usage effectiveness pue rating ensure energy efficiency opt green web hosting service powered renewable energy consider serverless architecture minimize carbon footprint utilize content delivery network cdn serve static asset server closest user reducing data transfer emission additionally selecting data center near target audience decrease energy consumption .. data storage fomo often result data hoarding company retain excessive amount data due fear missing potential future insight behavior exacerbated relatively low cost storage leading dumping vast amount data without proper management embed sustainability developer focus green data handling coding consider data archival deletion avoid redundant computation although data storage cheap significant carbon cost company reduce data transfer cost optimizing payload implementing logic clean aggregate data moving computation data center greener energy source also help educating end user energy trade-off support sustainability effort mindful choice software developer reduce carbon emission associated software data .. workload design moving computation data center greener energy source also help instance scheduling batch process machine learning training run green data center time green energy available night significantly reduce carbon footprint educating end user energy trade-off support sustainability effort mindful choice software developer reduce carbon emission associated software data .. read a. microsoft sustainability dashboard 1. energy efficiency across programming language 2. ux design 3. green software pattern,"designthinking, architecture, greensoftware",0,7,Bala Madhusoodhanan,,2024-10-07,2024,10,7,Green Cloud Computing,https://dev.to/balagmadhu/carbon-aware-software-development-2612
1985070,"The Paradox of Progress: AI, Efficiency, and Sustainability",Intro:   Large language models have undeniably expanded the horizons of efficiency and...,intro large language model undeniably expanded horizon efficiency captivated imagination would like thank dr. shasha whose profound philosophical view generative ai hype cycle thought-provoking perspective think delicate balance technological progress sustainability jevons paradox occurs technological advancement increase efficiency resource use increased efficiency lead higher overall consumption resource happens reduced cost increased availability make resource attractive leading greater demand.in blog delve sustainability challenge explore potential solution future .. applying jevons paradox large language model increased efficiency advance ai made model efficient powerful enabling perform wide range task effectively .. lower cost technology becomes efficient cost deploying using ai model decrease .. higher demand reduced cost increased capability lead surge demand ai application across various industry healthcare finance entertainment .. resource consumption despite efficiency gain overall consumption computational resource like electricity data storage increase organization individual using model extensively .. sustainability concern ai drive significant efficiency innovation also raise sustainability concern energy consumption training running large ai model require substantial computational power leading increased energy consumption .. environmental impact data center powering model significant carbon footprint contributing environmental degradation .. design consideration green computing investing renewable energy source data center understand workload scehdul efficient algorithm developing energy-efficient algorithm hardware .. regulation policy implementing policy encourage sustainable practice ai development deployment .. gif furter read jevons paradox,"sustainability, ai, greensoftware, philosophy",1,6,Bala Madhusoodhanan,,2024-09-09,2024,9,9,AI Energy Consumption,https://dev.to/balagmadhu/the-paradox-of-progress-ai-efficiency-and-sustainability-24mj
1897561,DarkSIDE of AI : Power Hungry process,"Intro:   I had the privilege of serving as a panelist, discussing the decision-making...","intro privilege serving panelist discussing decision-making process design system utilize machine learningai enhance efficiency preparation discovered insightful paper provided valuable clarity highly recommend giving paper read .. double edge sword paradox computational demand large language model astonishingly highsome fact power consumption truly staggering offer perspective 1.training gpt model 175b parameter energy-intensive process would resulted additional tonne carbon emissionsa stark reminder environmental consideration must balance pursuit ai advancement put thing perspective would around flight newyork london image description 2.electricity consumption train model consuming mwh electricityenough power average detached home uk entire year .. image description 3.inferencing llm model daily inference operation gpt-3 consume mwh electricity sufficient supply energy average uk home entire year statistic underscore significant power requirement maintaining advanced ai system active use image description motivation research paper energy consumption leading cloud computing providersmeta amazon microsoft googlehas surged exceeding previous level inference operation integral ai model like used google translate occur far often training phase potentially billion time daily shift focus training inference see different picture especially regarding model designed general purpose training single model various task may seem energy-efficient initially advantage may diminish even become deficit throughout model operational life due extensive amount inference performed model implemented consumer service chat platform web search engine .. methodology research conducted author encompassed model pertaining task datasets covering natural language processing computer vision examined factor final task modality model size architecture learning approachwhether task-specific multi-taskmulti-purposeaffect energy efficiency author uncovered vast disparity energy consumed per inference among different model modality task study also highlighted crucial balance advantage multi-purpose system energy expenditure along related carbon emission .. image description author selected eight popular model huggingface hub determined number downloads task mentioned full list model identifier presented table supplementary material model author conducted 1,000 inference three datasets model trained listed table utilizing transformer library 55. ensure statistical significance measurement set inference repeated ten time inference carried sequentiallywithout batchingto accurately reflect variability encountered real-world model deployment batching input often feasible author conducted test subset task compare energy consumption emission multi-purpose generative model individual task-specific system task chosen comparison question answering text classification summarization particular task selected author could identify set model capable performing unified architectural frameworka feat possible task especially involving multiple modality eight model evaluated zero-shot setting remained consistent across model example used prompt summarize following text text summary 1,000 sample fine-tuned model experiment repeated ten time ensure statistical significance result .. image description hope insight captured curiosity strongly encourage delve compelling research consider environmental implication making design decision .. reference estimating carbon footprint bloom paper link power hungry process paper link energy consumption uk energy guide uk utilisation inference google translate","ai, greensoftware, awareness",0,13,Bala Madhusoodhanan,,2024-06-24,2024,6,24,AI Energy Consumption,https://dev.to/balagmadhu/darkside-of-ai-power-hungry-process-42oi
1591078,"Green Software is Event Driven and Carbon Aware, with Kubernetes and KEDA",Did you know that data centres emit more carbon than aviation or shipping? And it is not slowing...,know data centre emit carbon aviation shipping slowing research forecasting computing contribute global emission 2040. even worse significant portion emission wasted non-production resource running outside office hour always application scaled peak hour bad planet also cloud bill .. better instead fixed number application replica match scale application 1. current event example term incoming web request message kafka topic sizing application based much work alleviates overprovisioning always-on resource .. 2. availability clean energy electricity data centre 's power grid come different source coal nuclear solar energy cleaner i.e. carbon intensity lower reduce emission .. article show make application greener making event-driven carbon-aware 'll introduce property level kubernetes cluster using keda kubernetes event-driven autoscaler microsoft 's carbon aware keda operator application cluster benefit without becoming complex code example found github repo .. webshop want become greener consider simple webshop two application webserver serf website customer ordering system take care thing customer place order webserver put message necessary information queue immediately thanks customer purchase ordering system consumes message asynchronously check warehouse dispatch delivery sends confirmation email customer .. webserver ordering system communicate queue even though number customer varies throughout day application currently deployed fixed number replica pod appropriate busy moment graph number message queue ordering system replica cluster red line indicates number message queue blue show number pod .. graph showing event number replica base scenario simplicity assume replica message specific y-coordinate would exactly balance i.e. precisely enough replica number message case area blue red line relates total useful resource consumption respectively difference wasted resource .. webshop take pride sustainable reputation also want cut back cloud cost webshop owner spoke customer learned webserver always available fast 's okay asynchronous email confirmation arrives bit later .. webshop owner want scale ordering system based queue size whether clean energy available word carbon intensity low many message waiting queue ordering system go full speed maximum number replica many event low carbon intensity hand either carbon intensity high number message low balance number replica balanced number replica less event higher carbon intensity let 's explore achieve keda .. event-driven scaling pod want move away always-on ordering system many replica dynamically scale ordering system based number message queue use keda kubernetes event-driven autoscaler kubernetes operator scale application based 'events case 'events refer message queue many event supported keda controller installed cluster dynamically scale ordering system creating yaml consists roughly three part 1. must tell application want scale done key case target manages ordering system replica .. 2. configure want scale application determine range scaling configure many property well .. 3. finally tell event scale defined aws sqs queue trigger told strive message queue .. graph earlier change follows graph showing event number replica event-driven scenario difference area line much smaller indicating efficient resource usage .. really like keda try reinvent wheel instead reuses kubernetes built-in hpa horizontal pod autoscaler since kubernetes 1.10 hpa use metric based external metric server keda 'simply implement external metric server expose data trigger define .. carbon-aware limit scaling keda 's event-driven scaling resource consumption already changed drastically still ordering system take account current availability clean energy webshop busier moment less clean energy still emit much would like let 's see add carbon-awareness using carbon aware keda operator kubernetes operator limit far keda scale consumer based carbon-intensity operator essentially set ceiling allowed keda 's based carbon intensity current time allowing scaling carbon intensity lower operator installed configure scaling limit custom resource definition similar targeted target defined make neat layered approach layer unaware layer .. essential part yaml definition key let u configure increasingly strict scaling limit based availability clean energy .. operator retrieves current carbon intensity define key actually filling something fortunately microsoft created companion operator called carbon intensity exporter build green software foundation 's carbonawaresdk provide carbon intensity data kubernetes cluster however want play around also set key operator create fake carbon intensity data testing purpose .. carbon aware keda operator configured cluster decrease webshop 's carbon emission energy cleaner graph showing event number replica event-driven carbon-aware scenario second peak message consumed slightly slower pace carbon intensity high moment customer might need wait second confirmation email likely wo n't even notice .. conclusion computing significantly contributes global carbon emission digitalisation show sign slowing therefore become efficient resource usage article show use keda become event-driven carbon-aware reduce overprovisioning application,"greensoftware, kubernetes, keda, tutorial",0,0,BjornvdLaan,,2023-09-07,2023,9,7,Green Cloud Computing,https://dev.to/bjornvdlaan/green-software-is-carbon-aware-and-event-driven-with-kubernetes-and-keda-5bk4
1571139,How edge computing can reduce your software's carbon footprint,I think often about how I can apply my skills as a software engineer in ways that contribute to the...,think often apply skill software engineer way contribute betterment society climate crisis particular one individual level n't always feel like much .. qcon london conference favourite track `` architecture sustainability mind '' left feeling empowered something day-to-day work showing could build software less impact environment sustainability mindset e.g asking could reduce energy consumption software build tool help measure impact existing software .. talk particularly sara bergman 's 'can green software engineering help solve climate crisis adrian cockcroft 's 'cloud provider sustainability current status future direction led consider edge computing fit specifically using edge reduce carbon emission application bergman 's talk referenced image international energy agency iea show increasing usage data centre respect number workload run energy consume energy consumed transmission data general global trend digital energy indicator 2022. 've spoken edge computing boost performance application processing hosting data physically closer user .. closer user edge computing reduces carbon emission software resulting energy consumption following area data centre workload data centre energy use data transmission network energy use .. achieves following lower request latency request latency tied energy used transmission data network lower request latency mean less electricity used essentially wasted waiting network response distant server idle resource still consume energy less time wait better .. less data cloud data stored closer user offline-first application mean less data need stored cloud mean wo n't need large database would require bigger machine multiple machine 's sharded reduces energy needed store data data centre .. reduced workload going data centre reduction workload going data centre mean potentially reduce size machine need run handle application traffic data centre smaller machine smaller energy usage data centre .. smaller energy usage smaller carbon footprint .. 's math like see .. wrapping based way edge computing operates architecture run application logic host data closer user see leveraging edge reduce carbon footprint software reduced energy usage .. software developer start adopting edge particularly frequently invoked functionality help reducing technology 's impact environment .. hoped try get concrete number carbon emission edge function run cloud computing provider relative serverless function hosted data centre using climatiq unfortunately cloud computing api could potentially help n't part free community tier .. anyone recommendation alternative tooling measure comment post finally 'd like learn building green software 'd start taking look green software foundation bunch helpful resource tool,"programming, edge, greensoftware",0,0,Erica Pisani,,2023-08-17,2023,8,17,Green Cloud Computing,https://dev.to/ericapisani/how-edge-computing-can-reduce-your-softwares-carbon-footprint-4dif
1517476,"Carbon Aware Software: Three Demand Shaping Strategies, implemented in Kotlin",Software engineers have a largely untapped opportunity to contribute to a greener world. In this...,software engineer largely untapped opportunity contribute greener world article discus schedule asynchronous task minimise carbon emission .. electricity come various source different carbon emission depending source certain amount carbon emitted generated kilowatt hour kwh clean renewable source like wind solar hydroelectric power emit minimal carbon fossil fuel source emit quite bit amount carbon emitted energy source called carbon intensity measured gram carbon per kwh .. ideally would plug computer data center directly wind farm software powered zero carbon intensity however feasible individual directly connect wind farm instead rely power grid receive electricity mix source connected grid control specific source supplying electricity simply receive blend current power source within grid including lower- higher-carbon source therefore carbon intensity electricity consume reflects combination source grid moment carbon awareness idea energy come low-carbon source less energy come high-carbon source one approach building carbon-aware software called demand shaping shape computation match existing supply carbon cost running application becomes high shape demand match supply carbon .. figure img src '' figcaptiondemand shaping figure demand shaping sounded bit abstract first heard therefore decided build carbon-aware software using kotlin spring boot article show plan insight find code github .. implementation 'll simulate scenario producer periodically put task description queue describing computationally intensive task consumer execute asynchronously imagine task time-critical performed somewhere future executing task consumer first reach api called carbonawaresdk provides information carbon intensity certain time place consumer implement different strategy processing event based retrieved carbon intensity 1. threshold consumer consumes new task queue carbon intensity lower certain threshold .. 2. adaptive velocity consumer take longer break task based carbon intensity .. 3. forecast-based consumer run daily task optimal time next hour .. carbon aware component setup carbonawaresdk api carbonawaresdk help u retrieve information carbon intensity certain time place documentation available endpoint found purpose use two functionality .. current carbon intensity request current carbon intensity specific location following url response contains field carbon intensity measured gram co2 equivalent per kilowatt hour .. forecasted carbon intensity also ask service forecast carbon intensity two timestamps indicated path variable .. one really cool feature also give u moment time frame carbon intensity lowest .. threshold consumer first consumer called every second using spring boot 's annotation upon invocation current carbon intensity retrieved task retrieved executed carbon intensity lower threshold .. adaptive velocity consumer adaptive velocity consumer different first consumer always continue consuming message work harder carbon intensity lower reading executing task consumer sleep millisecond gram co2 emitted kwh moment therefore sleep less clean energy available .. forecast consumer first two consumer make decision based current carbon intensity quite similar greedy algorithm final consumer aim smarter instead asking carbonawaresdk current carbon intensity consumer request forecast coming day response look important field contains best moment perform task .. schedule consumer run per day invocation retrieves best moment execute task day schedule using spring boot 's .. insight three consumer give u initial idea build carbon-aware software however application level right place implement logic yes manage work emit less carbon still application running method invoked network request consumer carbonawaresdk also cost electricity addition application becomes complex shaping logic degrading carbon efficiency three consumer also specific downside threshold consumer guarantee task ever executed location world still reliant coal threshold might low .. adaptive velocity consumer read faster cleaner energy available could still process lot task dirty time day even worse could slowly work whole queue high carbon intensity hour nothing left want speed .. forecasting consumer solves downside previous two scheduling task application level risky move moment application could killed part rolling update error unrelated task scheduling lost task description already removed queue wo n't executed anymore altogether get even messier multiple replica application uncommon production environment .. shift platform believe forecasting consumer promising three strategy however application right place implement functionality instead imagine custom resource kubernetes allows u schedule task based carbon intensity .. custom resource associated custom controller reach carbonawaresdk also host on-premise forecast next hour job described executed optimal moment similar forecasting consumer saw earlier added benefit custom controller centralises call carbonawaresdk api saving network traffic carbon .. conclusion implementing carbon-aware software demand shaping technique potential reduce carbon emission promote sustainability digital landscape article applied demand shaping application level however learned demand shaping might better implemented lower level green software pattern like demand shaping still active development continued research collaboration adoption carbon-aware software solution vital realising benefit creating greener future ..,"kotlin, greensoftware, carbonaware, programming",0,3,BjornvdLaan,,2023-07-10,2023,7,10,Carbon Footprint Management,https://dev.to/bjornvdlaan/carbon-aware-software-three-demand-shaping-strategies-implemented-in-kotlin-3jki
1518408,3 steps towards a greener IT landscape,Businesses all over the world are moving towards a greener future. Steel factories look at green...,business world moving towards greener future steel factory look green steel dairy company offer plant-based alternative office roof get solar panel cloud provider make sustainability pledge however even though every company nowadays us software hardware form landscape often considered sustainability plan even though data centre substantial carbon emission aviation growing sustainability also mind software hardware developer talk non-functional requirement think performance reliability much carbon efficiency .. believe software engineer largely untapped opportunity contribute greener world big bonus green landscape application also likely become cheaper run better performance resilience win-win article take three step world green software engineering concrete example along way three step visualised .. image description 1. software application running application cause carbon emitted probably never able emit nothing work minimise amount carbon emitted per unit work essentially two approach making application energy-efficient .. first approach simply make application consume less energy achieve exactly depends application web application could look network communication frontend backend identify three option 1. reduce size network packet minifying web asset removing unused cs definition .. 2. reduce distance packet travel introducing cdn content delivery network .. 3. reduce number api call needed render page .. could even look programming language pick five year ago researcher portugal compared energy consumption several popular programming language showed execution time memory usage influenced energy usage found compiled language c go rust java tend energy efficient interpreted language javascript python .. alternatively make application intelligent power grid supplied electricity various source sun shining wind blowing available energy come renewable source based concept build application carbon-aware energy come low-carbon source less energy come high-carbon source imagine application read task description kafka performs cpu-intensive computation adjusts pace based clean current energy supply pattern called demand shaping shape energy demand application based carbon intensity .. instead changing pace demand shaping also shift different time andor place called demand shifting imagine company australia want run computation nighttime could run workload netherlands daytime solar power readily available .. 2. runtime platform software application often operated runtime platform kubernetes make great place achieve sustainability gain making improvement platform-level profit application running k8s community great initiative assist 'll give three example .. suppose company separate dev test acceptance production environment case already achieve significant emission reduction turning dev test cluster weekend automate automatically shuts deployment cronjobs n't need added benefit also promote healthy working environment developer take rest outside business hour .. default kubernetes scale workload based cpu ram utilisation however use component like scale based relevant demand metric http request queue length help u reduce resource utilisation therefore carbon emission even scale deployment zero .. finally adjust scheduler assign pod node based carbon intensity machine 's location bill johnson principal software engineering manager wrote article topic .. 3. hardware software build eventually run hardware server datacenter phone laptop end user device need manufactured also need dismantled eventually carbon emitted creation disposal device called embodied carbon bar chart credit green software foundation show embodied carbon trivial factor .. emission end user device green software foundation reducing embodied carbon server requires embracing responsible lifecycle management involves implementing proper disposal recycling method old server refurbishing reselling recycling extend useful life prevent ending landfill .. besides embodied carbon also consider server used simply said utilise server efficient run application call energy proportionality info therefore run software using less electricity running server possible .. believe embodied carbon energy proportionality cloud provider amazing opportunity contribute better world happy see first step already taken server data centre often written four three big cloud vendor recently announced extending lifespan light sustainability also manage application multiple company intelligently allocate workload way server sitting idle improving utilisation rate .. besides making hardware sustainable cloud-hood cloud provider also give tool customer make greener choice example aws lambda snapstart option decrease startup time way could carbonawarestart applies demand shaping lambda execution moreover cloud provider could inform customer emission way give insight cost get measured get improved .. conclusion green software invite u software engineer make landscape sustainable engineer play vital role protecting environment focusing energy efficiency reducing waste minimising carbon emission joining green software movement opportunity responsibility build better future together using sustainable practice drive innovation improve performance contribute resilient digital world across industry let 's work together create greener sustainable planet .. interested check green software foundation .. image attribution cover photo matt anderson unsplash .. icon used visualisation found flaticon.com .. globe icon created uniconlabs flaticon lifespan icon created flowicon flaticon server icon created freepik flaticon development icon created design circle flaticon application icon created smashicons flaticon,"greensoftware, programming",0,2,BjornvdLaan,,2023-07-03,2023,7,3,Green Software Development,https://dev.to/bjornvdlaan/3-steps-towards-a-greener-it-landscape-15fe
