Title,label,x,y,z,size
Software Sustainability: A Comprehensive Guide for a Resilient Digital Future,Software Sustainability,5.6600513,6.0355864,7.3977714,61
Sustainable Movement: Green Software Development,Green Software Development,5.026615,6.6017904,6.780056,6
Carbon-Aware Software Development,Green Cloud Computing,4.9978065,6.7787304,6.437021,27
"The Paradox of Progress: AI, Efficiency, and Sustainability",AI Energy Consumption,9.147356,7.1572833,5.003899,21
DarkSIDE of AI : Power Hungry process,AI Energy Consumption,9.124076,7.4444847,4.772866,21
"Green Software is Event Driven and Carbon Aware, with Kubernetes and KEDA",Green Cloud Computing,4.9073467,6.7606187,6.1649446,27
How edge computing can reduce your software's carbon footprint,Green Cloud Computing,4.9564266,6.4853864,6.3292317,27
"Carbon Aware Software: Three Demand Shaping Strategies, implemented in Kotlin",Carbon Footprint Management,4.9313064,5.8282003,6.1773376,8
3 steps towards a greener IT landscape,Green Software Development,5.0145044,6.6138263,6.7677884,6
Is it too late to fix the problem of AI clutter on the web?,AI Energy Consumption,9.221065,7.0683646,5.0282583,21
MEET A STEERING COMMITTEE MEMBER: DAN LEWIS-TOAKLEY OF THOUGHTWORKS,Software Sustainability,6.7121143,5.2763786,7.01379,61
"
MEET A STEERING COMMITTEE MEMBER: TORU SHIMOGAKI OF NTT DATA",Software Sustainability,6.501064,5.5431437,7.0485964,61
MEET GSF ORG LEADS: ZILIANG ZONG OF TEXAS STATE UNIVERSITY,Software Sustainability,6.577047,5.637268,7.1241903,61
MEET OUR STEERING COMMITTEE: GITHUB,Software Sustainability,6.5521398,5.7136445,7.0619287,61
MEET A STEERING COMMITTEE MEMBER: ELISE ZELECHOWSKI OF THOUGHTWORKS,Software Sustainability,6.721096,5.3054104,6.9638906,61
SUSTAINABILITY SUPERHEROES – CIOS ARE PULLING ON THEIR GREEN CAPES,Green Cloud Computing,4.571878,6.288008,5.946359,27
Sustainable Tech Choices for Cloud,Green Cloud Computing,4.624401,6.6473546,5.9657593,27
Beyond Single-Dimensional Metrics for Digital Sustainability,Software Sustainability,6.1959076,5.9467835,7.251803,61
Actionable ways to make software greener,Software Sustainability,6.2154126,5.9616575,7.4174075,61
Is Your Site Unintentionally Polluting the Planet? Here's How to Quantify and Trim Its Carbon Footprint,Sustainable Web Design,7.6802235,6.525126,8.154095,32
"Digital Minimalism: Designing a Speedier, Greener Web",Sustainable Web Design,7.775741,6.987067,8.432118,32
